seqname,tax_id,species_name
S000001334,46679,Pseudomonas mucidolens
S000001335,59406,Azoarcus evansii
S000001349,44753,Tsukamurella spumae
S000001467,59803,Sphingomonas echinoides
S000001487,73010,Aeromonas encheleia
S000001545,69208,Anaerobacter polyendosporus
S000001549,33952,Acetobacterium woodii
S000001603,69365,Microbacterium arabinogalactanolyticum
S000001617,2014,Nocardiopsis dassonvillei
S000001622,46206,Pseudobutyrivibrio ruminis
S000001631,33887,Rathayibacter rathayi
S000001638,55507,Schwartzia succinivorans
S000001649,44752,Rhodococcus wratislaviensis
S000001688,78355,Streptomyces somaliensis
S000001695,126348,Cellvibrio gandavensis
S000001698,151781,Lactobacillus intestinalis
S000001703,156977,Microbacterium resistens
S000001704,820,Bacteroides uniformis
S000001831,32002,Achromobacter denitrificans
S000001837,37927,Sinomonas atrocyanea
S000001858,45465,Vogesella indigofera
S000001861,1946,Streptomyces kasugaensis
S000001869,33899,Streptomyces galilaeus
S000001870,68274,Streptomyces tauricus
S000001971,53343,Desulfotomaculum aeronauticum
S000001972,1863,Dermatophilus congolensis
S000001986,46467,Halocella cellulosilytica
S000001987,46469,Orenia marismortui
S000001988,63129,Halanaerobacter salinarius
S000002003,111292,Moritella abyssi
S000002004,39770,Methylobacter whittenburyi
S000002008,28449,Neisseria subflava
S000002016,54007,Anaerococcus octavius
S000002018,294,Pseudomonas fluorescens
S000002054,674,Vibrio mimicus
S000002066,167645,Propionivibrio limicola
S000002133,156202,Petrotoga sibirica
S000002167,117503,Thermosipho geolei
S000002172,39691,Mycobacterium moriokaense
S000002343,53245,Desulfonatronovibrio hydrogenovorans
S000002345,29376,Desulfotomaculum thermobenzoicum
S000002360,455,Legionella jamestowniensis
S000002363,1632,Lactobacillus oris
S000002374,1773,Mycobacterium tuberculosis
S000002378,36874,Porphyromonas cangingivalis
S000002380,43678,Oerskovia enterophila
S000002387,34038,Rahnella aquatilis
S000002408,39122,Skermania piniformis
S000002409,114687,Streptomyces auratus
S000002446,117567,Mycobacterium frederiksbergense
S000002498,28025,Bifidobacterium animalis
S000002541,36811,Mycobacterium agri
S000002613,54571,Streptomyces venezuelae
S000002651,102170,Desulfotomaculum sapomandens
S000002678,40216,Acinetobacter radioresistens
S000002714,29394,Dolosigranulum pigrum
S000002730,45071,Legionella parisiensis
S000002734,33883,Microbacterium arborescens
S000002743,81858,Mycobacterium elephantis
S000002752,2015,Nocardiopsis prasina
S000002770,40520,Blautia obeum
S000002791,114684,Streptomyces phaeogriseichromatogenes
S000002814,56458,Xanthomonas sacchari
S000002840,151276,Bacteroides coprosuis
S000002852,122355,Pseudomonas psychrophila
S000002971,49186,Marinobacterium stanieri
S000003124,45073,Legionella quinlivanii
S000003125,1625,Lactobacillus sanfranciscensis
S000003126,88164,Lactobacillus fornicalis
S000003131,33884,Microbacterium imperiale
S000003132,1274,Dermacoccus nishinomiyaensis
S000003134,69974,Mesorhizobium plurifarium
S000003147,35816,Pelobacter acidigallici
S000003149,77095,Prevotella bryantii
S000003153,303,Pseudomonas putida
S000003166,74031,Roseovarius tolerans
S000003178,114683,Streptomyces albiflaviniger
S000003179,78356,Streptomyces thermocoprophilus
S000003180,41274,Tissierella creatinophila
S000003217,126350,Cellvibrio fibrivorans
S000003243,92645,Herbaspirillum frisingense
S000003292,2051,Mobiluncus curtisii
S000003353,43654,Pseudoalteromonas aurantia
S000003368,86193,Sphingobium abikonense
S000003377,123320,Okibacterium fritillariae
S000003382,52690,Acetobacterium carbinolicum
S000003443,542,Zymomonas mobilis
S000003452,28090,Acinetobacter lwoffii
S000003454,61598,Lamprocystis purpurea
S000003455,33879,Agromyces ramosus
S000003458,1656,Actinomyces viscosus
S000003476,33046,Bartonella taylorii
S000003483,43997,Catonella morbi
S000003498,45663,Desulfohalobium retbaense
S000003508,46470,Halanaerobacter lacunarum
S000003514,573,Klebsiella pneumoniae
S000003517,448,Legionella erythra
S000003525,314281,Pseudoalteromonas tunicata
S000003538,53441,Nocardiopsis lucentensis
S000003547,54005,Peptoniphilus harei
S000003550,33035,Blautia producta
S000003555,43263,Pseudomonas alcaligenes
S000003559,867,Ruminobacter amylophilus
S000003565,46355,Spirochaeta africana
S000003572,1306,Streptococcus urinalis
S000003677,34058,Methylobacter marinus
S000003703,104609,Vibrio penaeicida
S000003706,153622,Vibrio agarivorans
S000003708,269709,Methylomicrobium kenyense
S000003709,45243,Capnocytophaga haemolytica
S000003746,47715,Lactobacillus rhamnosus
S000003862,52693,Acetobacterium paludosum
S000003902,65380,Desulfobacter halotolerans
S000003905,63959,Demetria terragena
S000003927,83617,Stenotrophomonas nitritireducens
S000003950,485,Neisseria gonorrhoeae
S000003968,68214,Streptomyces griseochromogenes
S000004024,28111,Bacteroides eggerthii
S000004105,36813,Mycobacterium pulveris
S000004193,29438,Pseudomonas savastanoi
S000004195,28094,Burkholderia caryophylli
S000004267,43665,Arthrobacter ilicis
S000004268,1381,Atopobium minutum
S000004306,58138,Desulfotomaculum acetoxidans
S000004313,562,Escherichia/Shigella coli
S000004324,47885,Pseudomonas oryzihabitans
S000004333,43674,Jonesia denitrificans
S000004339,45066,Legionella gratiana
S000004347,53376,Mycobacterium heidelbergense
S000004356,53437,Nocardiopsis alba
S000004383,43775,Syntrophus gentianae
S000004390,114688,Streptomyces griseiniger
S000004399,38322,Pseudothermotoga elfii
S000004412,56460,Xanthomonas vesicatoria
S000004495,2724,Hirschia baltica
S000004636,636,Edwardsiella tarda
S000004639,37928,Arthrobacter crystallopoietes
S000004697,89784,Alicyclobacillus hesperidum
S000004703,37931,Arthrobacter ureafaciens
S000004718,43671,Actinotalea fermentans
S000004732,80871,Cryptosporangium arvum
S000004736,79269,Desulfurella multipotens
S000004739,42252,Desulfovibrio termitidis
S000004741,53345,Enterococcus durans
S000004753,46201,Geovibrio ferrireducens
S000004763,28445,Mycobacterium intermedium
S000004769,53440,Nocardiopsis listeri
S000004775,53247,Pseudoalteromonas antarctica
S000004778,48466,Prosthecobacter vanneervenii
S000004779,60133,Prevotella pallens
S000004781,46678,Pseudomonas caricapapayae
S000004794,60137,Sulfitobacter pontiacus
S000004801,29527,Syntrophobacter wolinii
S000004812,672,Vibrio vulnificus
S000004814,60216,Xanthobacter tagetidis
S000004818,88373,Agromyces luteolus
S000004837,148814,Lactobacillus kunkeei
S000004840,47679,Sporomusa sphaeroides
S000004844,106262,Marinitoga camini
S000004852,114696,Streptomyces cangkringensis
S000004853,76517,Campylobacter hominis
S000005099,71657,Lonsdalea quercina
S000005124,42253,Nitrospira moscoviensis
S000005131,119,Rubinisphaera brasiliensis
S000005151,35813,Roseococcus thiosulfatophilus
S000005163,33058,Thauera selenatis
S000005166,41899,Burkholderia plantarii
S000005174,687,Vibrio gazogenes
S000005176,29498,Vibrio tubiashii
S000005200,85583,Methylomonas scandinavica
S000005219,614,Serratia liquefaciens
S000005350,83264,Aminobacter aganoensis
S000005383,58346,Streptomyces platensis
S000005441,80881,Simplicispira metamorpha
S000005442,1655,Actinomyces naeslundii
S000005494,84096,Gordonia alkanivorans
S000005503,45056,Legionella adelaidensis
S000005508,458,Legionella rubrilucens
S000005549,55085,Streptococcus thoraltensis
S000005554,60921,Sanguibacter suarezii
S000005555,34070,Telluria chitinolytica
S000005601,100468,Lactobacillus perolens
S000005649,28214,Sphingomonas azotifigens
S000005651,136468,Vibrio lentus
S000005673,141692,Nocardiopsis halophila
S000005734,164400,Thauera phenylacetica
S000005780,37734,Enterococcus casseliflavus
S000005816,46353,Agrococcus jenensis
S000005842,28898,Campylobacter helveticus
S000005861,58115,Glycomyces rutgersensis
S000005892,36746,Pseudomonas cichorii
S000005894,52227,Prevotella dentalis
S000005898,47878,Pseudomonas azotoformans
S000006100,83291,Streptomyces armeniacus
S000006150,876,Desulfovibrio desulfuricans
S000006170,1665,Arthrobacter globiformis
S000006177,131110,Actinomyces radingae
S000006178,57909,Kribbella koreensis
S000006193,47848,Brachybacterium tyrofermentans
S000006206,61644,Chromatium okenii
S000006242,33959,Lactobacillus johnsonii
S000006246,45076,Legionella worsleiensis
S000006247,36805,Microbacterium aurum
S000006251,36806,Microbacterium dextranolyticum
S000006316,29494,Vibrio furnissii
S000006317,668,Aliivibrio fischeri
S000006319,56463,Xanthomonas codiaei
S000006483,70775,Pseudomonas plecoglossicida
S000006491,86179,Chromohalobacter beijerinckii
S000006569,75684,Balneatrix alpica
S000006584,52766,Caldicellulosiruptor lactoaceticus
S000006585,42055,Chromohalobacter marismortui
S000006614,114,Gemmata obscuriglobus
S000006620,29581,Janthinobacterium lividum
S000006621,53458,Janibacter limosus
S000006645,53408,Pseudomonas citronellolis
S000006658,85336,Rothia nasimurium
S000006708,114090,Pediococcus inopinatus
S000006799,44935,Halomonas venusta
S000006814,124252,Nocardiopsis halotolerans
S000006848,863372,Herbaspirillum huttiense
S000006851,89061,Weissella thailandensis
S000006930,437,Acidomonas methanolica
S000006932,438,Acetobacter pasteurianus
S000006936,52774,Actinomyces slackii
S000006970,37626,Desulfuromusa succinoxidans
S000006979,61171,Holdemania filiformis
S000006985,128104,Lentzea violacea
S000007000,1272,Kocuria varians
S000007012,53412,Pseudomonas resinovorans
S000007041,36878,Hymenobacter ocellatus
S000007045,106147,Pelistega europaea
S000007051,28175,Vibrio orientalis
S000007088,120377,Salana multivorans
S000007118,415,Methylobacter luteus
S000007272,654,Aeromonas ichthiosmia
S000007305,82801,Desemzia incerta
S000007307,79271,Desulfurella propionica
S000007314,65700,Erwinia tracheiphila
S000007321,51670,Hyphomicrobium facile
S000007327,43064,Trichococcus pasteurii
S000007328,460,Legionella steigerwaltii
S000007341,1276,Kytococcus sedentarius
S000007346,37329,Nocardia farcinica
S000007353,1713,Oerskovia turbata
S000007365,42444,Marinovum algicola
S000007381,47917,Serratia fonticola
S000007383,40683,Sphingomonas pruni
S000007395,34071,Telluria mixta
S000007401,691,Vibrio natriegens
S000007404,40269,Aliivibrio salmonicida
S000007411,88374,Agromyces rhizospherae
S000007457,101571,Burkholderia ubonensis
S000007501,170623,Azotobacter beijerinckii
S000007528,191577,Epilithonimonas tenax
S000007613,83263,Aminobacter aminovorans
S000007645,67780,Edwardsiella ictaluri
S000007646,52689,Acetobacterium bakii
S000007648,75697,Castellaniella defragrans
S000007669,83784,Burkholderia sartisoli
S000007728,31943,Brevibacterium iodinum
S000007761,57664,Desulfuromonas thiophila
S000007769,1861,Geodermatophilus obscurus
S000007772,84,Hyphomicrobium methylovorum
S000007776,83683,Lactobacillus amylolyticus
S000007780,28083,Legionella birminghamensis
S000007789,107400,Methylobacterium fujisawaense
S000007793,82380,Microbacterium oxydans
S000007815,146806,Phocoenobacter uteri
S000007836,149015,Streptococcus hyovaginalis
S000007886,76891,Asticcacaulis biprosthecium
S000007910,76635,Mycetocola tolaasinivorans
S000007914,164115,Streptomyces niveiscabiei
S000008023,85831,Bacteroides acidifaciens
S000008088,43657,Pseudoalteromonas luteoviolacea
S000008099,1698,Brevibacterium epidermidis
S000008127,29503,Desulfomicrobium escambiense
S000008147,72026,Helcococcus ovis
S000008149,72000,Kocuria rhizophila
S000008153,40335,Legionella tucsonensis
S000008158,1776,Mycobacterium flavescens
S000008159,55518,Magnetospirillum gryphiswaldense
S000008203,59310,Streptococcus gallolyticus
S000008216,60549,Burkholderia phenazinium
S000008217,60548,Burkholderia graminis
S000008354,984,Pedobacter heparinus
S000008376,200254,Azoarcus buckelii
S000008471,56055,Bogoriella caseilytica
S000008496,39060,Desulfotomaculum geothermicum
S000008497,32062,Deinococcus radiophilus
S000008509,29422,Legionella brunensis
S000008536,122,Gimesia maris
S000008558,43661,Shewanella benthica
S000008567,67356,Streptomyces resistomycificus
S000008574,583357,Thermoanaerobacter mathranii
S000008660,132132,Desulfomicrobium orale
S000008742,1596,Lactobacillus gasseri
S000008758,86174,Thauera butanivorans
S000008814,905,Acidaminococcus fermentans
S000008827,29430,Acinetobacter haemolyticus
S000008866,779,Ehrlichia ruminantium
S000008874,33002,Desulfurella acetivorans
S000008875,554,Pectobacterium carotovorum
S000008887,55508,Janthinobacterium agaricidamnosum
S000008902,1804,Mycobacterium gilvum
S000008913,489,Neisseria polysaccharea
S000008928,301,Pseudomonas oleovorans
S000008929,47884,Pseudomonas taetrolens
S000008947,44032,Streptomyces macrosporus
S000008950,55504,Sporomusa silvacetica
S000008956,1934,Streptomyces thermovulgaris
S000008973,80852,Aliivibrio wodanis
S000008975,56448,Xanthomonas arboricola
S000009040,153494,Rarobacter incanus
S000009145,93378,Edwardsiella hoshinae
S000009225,1714,Cellulomonas uda
S000009229,145458,Rathayibacter toxicus
S000009236,71656,Brenneria alni
S000009259,28087,Legionella sainthelensi
S000009281,330,Pseudomonas pseudoalcaligenes
S000009291,60890,Phaeobacter gallaeciensis
S000009301,25,Shewanella hanedai
S000009304,40682,Sphingomonas mali
S000009305,67327,Streptomyces melanosporofaciens
S000009314,82788,Thauera mechernichensis
S000009364,156979,Arthrobacter cumminsii
S000009503,1670,Arthrobacter citreus
S000009593,94624,Bordetella petrii
S000009600,1712,Cellulomonas gelida
S000009616,36740,Dermabacter hominis
S000009618,37915,Dietzia maris
S000009620,1299,Deinococcus radiodurans
S000009621,57497,Deinococcus radiopugnans
S000009623,466107,Desulfovibrio litoralis
S000009638,42421,Halanaerobium acetethylicum
S000009659,69362,Microbacterium schleiferi
S000009676,29542,Pelobacter acetylenicus
S000009680,36876,Porphyromonas crevioricanis
S000009690,47883,Pseudomonas synxantha
S000009694,1833,Rhodococcus erythropolis
S000009713,74714,Thermoanaerobacter sulfurophilus
S000009714,76113,Thauera terpenica
S000009720,689,Vibrio mediterranei
S000009721,28174,Vibrio ordalii
S000009734,13243,Rarobacter faecitabidus
S000009737,1335,Streptococcus equinus
S000009782,82806,Streptococcus ovis
S000009787,164348,Streptomyces puniciscabiei
S000009879,57037,Lactobacillus zeae
S000009988,52694,Acetobacterium wieringae
S000010006,2749,Carnobacterium gallinarum
S000010018,40218,Desulforhabdus amnigena
S000010022,14,Dictyoglomus thermophilum
S000010034,577,Raoultella terrigena
S000010043,52226,Mitsuokella multacida
S000010044,1782,Mycobacterium nonchromogenicum
S000010081,392844,Desulfothermus naphthae
S000010085,76112,Thauera linaloolentis
S000010116,1648,Erysipelothrix rhusiopathiae
S000010130,101564,Pseudomonas alcaliphila
S000010260,53410,Pseudomonas ficuserectae
S000010336,40215,Acinetobacter junii
S000010338,37929,Arthrobacter nicotianae
S000010347,84757,Beutenbergia cavernae
S000010358,46506,Bacteroides stercoris
S000010364,47886,Pseudomonas luteola
S000010431,21,Phenylobacterium immobile
S000010434,47879,Pseudomonas corrugata
S000010442,48729,Rhabdochromatium marinum
S000010445,61651,Serratia ficaria
S000010453,46429,Sphingobium chlorophenolicum
S000010467,685,Vibrio diazotrophicus
S000010535,156203,Petrotoga olearia
S000010683,78510,Streptomyces yanii
S000010699,80866,Delftia acidovorans
S000010738,102109,Desulfovibrio inopinatus
S000010752,272240,Zimmermannella faecalis
S000010758,52773,Actinomyces meyeri
S000010760,1676,Arthrobacter polychromogenes
S000010801,50715,Acidisphaera rubrifaciens
S000010826,28088,Legionella wadsworthii
S000010827,37916,Mycobacterium chlorophenolicum
S000010831,36807,Microbacterium laevaniformans
S000010833,57040,Malonomonas rubra
S000010837,1787,Mycobacterium szulgai
S000010863,1829,Rhodococcus rhodochrous
S000010876,67360,Streptomyces roseoviolaceus
S000010883,51160,Treponema maltophilum
S000010893,56453,Xanthomonas cucurbitae
S000010910,147047,Desulfovibrio mexicanus
S000010999,29570,Halomonas meridiana
S000011030,149017,Arcanobacterium hippocoleae
S000011134,52692,Acetobacterium malicum
S000011165,33045,Bartonella grahamii
S000011209,48292,Hyphomicrobium zavarzinii
S000011214,464,Legionella gormanii
S000011216,454,Legionella israelensis
S000011221,37921,Arthrobacter agilis
S000011276,33059,Acidithiobacillus caldus
S000011291,29495,Vibrio navarrensis
S000011324,98671,Arthrobacter albus
S000011394,189863,Arthrobacter nasiphocae
S000011436,1349,Streptococcus uberis
S000011437,1311,Streptococcus agalactiae
S000011480,227,Pseudoalteromonas carrageenovora
S000011481,33996,Gluconacetobacter diazotrophicus
S000011492,150723,Aminobacter ciceronei
S000011542,1661,Trueperella pyogenes
S000011551,33889,Brevibacterium casei
S000011583,1564,Desulfotomaculum ruminis
S000011598,28085,Legionella cincinnatiensis
S000011619,69221,Pectobacterium cacticida
S000011652,53423,Thermodesulfovibrio islandicus
S000011660,671,Vibrio proteolyticus
S000011688,28169,Vibrio pelagius
S000011830,1112,Porphyrobacter neustonensis
S000011834,68183,Streptomyces capoamus
S000011862,49185,Kineosporia aurantiaca
S000011903,59505,Actinotignum schaalii
S000011943,1071,Rhodopila globiformis
S000011947,39950,Dialister pneumosintes
S000011949,159728,Desulfovibrio cuneatus
S000011972,37922,Nesterenkonia halobia
S000011973,188,Magnetospirillum magnetotacticum
S000011976,1784,Mycobacterium simiae
S000011991,45622,Propionigenium maris
S000012007,42443,Roseobacter litoralis
S000012012,46357,Spirochaeta asiatica
S000012027,114686,Streptomyces phaeoluteigriseus
S000012028,56359,Sandaracinobacter sibiricus
S000012031,29575,Taylorella equigenitalis
S000012074,146821,Streptomyces reticuliscabiei
S000012082,153721,Sporocytophaga myxococcoides
S000012086,111015,Actinomyces radicidentis
S000012103,76637,Mycetocola lacteus
S000012284,305698,Aminobacter lissarensis
S000012330,46358,Bartonella clarridgeiae
S000012355,63561,Desulfovibrio sulfodismutans
S000012363,42566,Halomonas eurihalina
S000012370,45064,Legionella fairfieldensis
S000012396,195064,Ectothiorhodospira mobilis
S000012400,59779,Paracoccus marcusii
S000012413,1828,Rhodococcus fascians
S000012433,44033,Streptomyces thermolineatus
S000012436,60922,Sanguibacter inulinus
S000012437,54294,Thermosyntropha lipolytica
S000012562,121163,Actinomyces suimastitidis
S000012626,1353,Enterococcus gallinarum
S000012670,52771,Actinomyces howellii
S000012675,70856,Aeromonas popoffii
S000012680,75105,Burkholderia caribensis
S000012687,85701,Bartonella tribocorum
S000012709,155892,Caulobacter vibrioides
S000012727,48727,Halomonas pantelleriensis
S000012736,53417,Lonepinella koalarum
S000012740,39771,Methylomonas aurantiaca
S000012756,65735,Paracoccus alkenifer
S000012774,40681,Sphingomonas asaccharolytica
S000012797,56449,Xanthomonas bromi
S000012840,156980,Arthrobacter woluwensis
S000012860,124798,Microbacterium phyllosphaerae
S000012980,470,Acinetobacter baumannii
S000013051,33044,Bartonella doshiae
S000013058,33957,Caloramator indicus
S000013097,1778,Mycobacterium gordonae
S000013118,266,Paracoccus denitrificans
S000013156,56456,Xanthomonas melonis
S000013161,126843,Mesorhizobium chacoense
S000013211,29313,Mycobacterium shimoidei
S000013341,76759,Pseudomonas monteilii
S000013342,76760,Pseudomonas rhodesiae
S000013427,53442,Eubacterium callanderi
S000013448,45075,Legionella shakespearei
S000013454,39772,Methylomonas fodinarum
S000013455,36812,Mycobacterium genavense
S000013457,33885,Microbacterium lacticum
S000013460,1273,Micrococcus lylae
S000013501,52443,Vibrio tapetis
S000013701,33025,Phascolarctobacterium faecium
S000013709,97,Gallionella ferruginea
S000013765,137733,Granulicatella balaenopterae
S000013841,71253,Arthrobacter rhombi
S000013862,1709,Cellulomonas biazotea
S000013910,65552,Meiothermus cerbereus
S000013923,41976,Porphyromonas catoniae
S000013928,28133,Prevotella nigrescens
S000013935,623,Escherichia/Shigella flexneri
S000013955,28171,Vibrio aestuarianus
S000013965,158627,Pseudomonas graminis
S000013989,1255,Pediococcus pentosaceus
S000013995,28116,Bacteroides ovatus
S000014057,142461,Vibrio ichthyoenteri
S000014117,29468,Methylocystis echinoides
S000014154,43655,Pseudoalteromonas citrea
S000014216,47678,Bacteroides caccae
S000014233,147709,Carnobacterium inhibens
S000014243,71383,Algicola bacteriolytica
S000014269,964,Herbaspirillum seropedicae
S000014316,66700,Desulfovirga adipica
S000014353,2378,Sporomusa ovata
S000014356,1254,Pediococcus acidilactici
S000014396,165694,Bartonella schoenbuchensis
S000014419,178339,Actinomyces hongkongensis
S000014523,1658,Actinomyces bovis
S000014590,28108,Alteromonas macleodii
S000014598,47847,Brachybacterium nesterenkovii
S000014631,71452,Enterococcus raffinosus
S000014647,180,Leptospirillum ferrooxidans
S000014649,39775,Methylomicrobium album
S000014684,24,Shewanella putrefaciens
S000014692,74348,Sulfitobacter brevis
S000014740,119495,Actinomyces catuli
S000014753,104336,Microbacterium foliorum
S000014863,86185,Pseudomonas lundensis
S000014924,52691,Acetobacterium fimetarium
S000014927,1671,Arthrobacter oxydans
S000014929,43666,Arthrobacter sulfureus
S000014939,136996,Bradyrhizobium lupini
S000014972,442,Gluconobacter oxydans
S000014978,71999,Kocuria palustris
S000014988,88139,Modestobacter multiseptatus
S000015002,160826,Nocardioides aquaticus
S000015010,69499,Petrotoga mobilis
S000015026,46356,Spirochaeta alkalica
S000015029,618,Serratia odorifera
S000015039,337,Burkholderia glumae
S000015049,350,Zoogloea ramigera
S000015063,61648,Kluyvera intermedia
S000015147,37482,Laceyella sacchari
S000015160,36814,Mycobacterium rhodesiae
S000015214,304,Pelomonas saccharophila
S000015295,1660,Actinomyces odontolyticus
S000015298,43658,Pseudoalteromonas rubra
S000015299,131109,Actinomyces bowdenii
S000015305,47845,Brachybacterium alimentarium
S000015332,28885,Hydrogenovibrio marinus
S000015335,100225,Austwickia chelonae
S000015339,53329,Desulfospira joergensenii
S000015345,55212,Erwinia rhapontici
S000015364,2097,Mycoplasma genitalium
S000015367,39692,Mycobacterium parafortuitum
S000015378,64002,Nevskia ramosa
S000015393,53372,Pilimelia terevasa
S000015397,787,Rickettsia australis
S000015406,42906,Serratia entomophila
S000015417,60920,Sanguibacter keddieii
S000015429,62763,Vibrio pectenicida
S000015432,56450,Xanthomonas cassavae
S000015591,86182,Curvibacter lanceolatus
S000015593,28097,Ralstonia syzygii
S000015594,293,Brevundimonas diminuta
S000015603,90736,Moritella marina
S000015698,54767,Desulfovibrio indonesiensis
S000015699,37625,Desulfuromusa kysingii
S000015700,29360,Cellulosilyticum lentocellum
S000015701,83564,Desulfosarcina ovata
S000015715,42422,Halobacteroides halobius
S000015720,35787,Lactobacillus pontis
S000015721,39774,Methylomicrobium agile
S000015773,1952,Streptomyces thermoviolaceus
S000015784,114404,Sphingomonas fennica
S000015789,56455,Xanthomonas hyacinthi
S000015790,56457,Xanthomonas pisi
S000015791,56459,Xanthomonas vasicola
S000015853,123899,Bordetella trematum
S000015943,53407,Pseudomonas asplenii
S000015944,68570,Streptomyces albulus
S000016032,33881,Curtobacterium luteum
S000016046,41211,Desulfotomaculum gibsoniae
S000016062,45070,Legionella nautarum
S000016079,549,Pantoea agglomerans
S000016120,676,Vibrio fluvialis
S000016121,80854,Moritella viscosa
S000016146,112900,Sporomusa acidovorans
S000016269,164330,Thauera aminoaromatica
S000016303,29489,Aeromonas enteropelogenes
S000016359,28109,Pseudoalteromonas nigrifaciens
S000016372,1703,Brevibacterium linens
S000016405,37624,Desulfuromusa bakii
S000016406,58621,Desulfovibrio intestinalis
S000016413,1354,Enterococcus hirae
S000016421,53400,Hyphomicrobium hollandicum
S000016424,45065,Legionella geestiana
S000016426,45072,Legionella quateirensis
S000016429,84962,Mycobacterium botniense
S000016452,300,Pseudomonas mendocina
S000016475,47763,Streptomyces lydicus
S000016476,36861,Thiobacillus denitrificans
S000016590,259,Sphingobacterium thalpophilum
S000016660,124,Blastopirellula marina
S000016689,95548,Thiocapsa litoralis
S000016693,335406,Sphingosinicella microcystinivorans
S000016767,297,Hydrogenophilus thermoluteolus
S000016869,82988,Buttiauxella brennerae
S000016873,150024,Halomonas magadiensis
S000016925,84035,Propionispira arboris
S000016937,84595,Gordonia polyisoprenivorans
S000016954,929,Thermithiobacillus tepidarius
S000016955,82996,Serratia plymuthica
S000017014,89959,Natronincola histidinovorans
S000017105,119485,Syntrophobacter pfennigii
S000017300,136100,Knoellia sinensis
S000017471,82977,Buttiauxella agrestis
S000017474,87883,Burkholderia multivorans
S000017481,93219,Pandoraea norimbergensis
S000017485,83558,Chlamydophila pneumoniae
S000017487,83552,Parachlamydia acanthamoebae
S000017509,330836,Tetrasphaera veronensis
S000017517,119978,Acidithiobacillus albertensis
S000017522,89968,Hymenobacter gelipurpurascens
S000017523,46541,Thermosipho melanesiensis
S000017755,174037,Psychromonas profunda
S000017759,32040,Acidovorax konjaci
S000017764,83769,Succinimonas amylolytica
S000017844,169176,Novosphingobium tardaugens
S000017991,82990,Buttiauxella gaviniae
S000018007,82805,Hymenobacter actinosclerus
S000018028,141451,Oleiphilus messinensis
S000018037,1082,Phaeospirillum fulvum
S000018038,57666,Sulfurospirillum arcachonense
S000018041,83219,Sulfitobacter mediterraneus
S000018099,114628,Alkaliphilus transvaalensis
S000018101,127458,Thiobaca trueperi
S000018119,109328,Leptotrichia trevisanii
S000018308,180164,Blautia schinkii
S000018317,173676,Novosphingobium hassiacum
S000018330,171121,Sulfurihydrogenibium subterraneum
S000018394,92487,Thiothrix eikelboomii
S000018396,59754,Alcanivorax borkumensis
S000018485,109327,Anaerovorax odorimutans
S000018492,82992,Buttiauxella noackiae
S000018514,569859,Desulfosporosinus hippei
S000018525,57043,Microbacterium esteraromaticum
S000018554,82987,Tatumella ptyseos
S000018565,76259,Ferribacterium limneticum
S000018588,81947,Vagococcus lutrae
S000018605,166954,Kaistia adipata
S000018681,154347,Thiorhodospira sibirica
S000018694,131080,Limnobacter thiooxidans
S000018776,179995,Anaerobiospirillum thomasii
S000018802,182182,Actinobacillus scotiae
S000018845,960,Bacteriovorax stolpii
